毒販槍自抵太陽穴與警對峙1小時	society
土城鵝肉名店遭縱火1死4傷	society
刑事局前主秘╱許瑞山包庇賭場二審逆轉判3年4月	society
行政契約協商若無結果林峯正：婦聯會資產將被凍結	politics
陽岱鋼談基層棒球：禮節比技術重要10倍	sports
勇士換戲碼「浪花兄弟」險翻船	sports
義氣！侯貞雄捐錢捐鋼蓋台大社科院免冠名	business
冬盟》首場無四死球完封朴峻杓暫居雙冠王	sports
民進黨布局2020英德配？清邁配？	politics
百敗翻身奪外卡最佳總教練落雙城	sports
黑道勾統促黨／四海幫中常委暴力喬1600萬分手費	society
糊塗爸亂放打火機4歲娃燒屋	society
記憶體價量齊揚金士頓今年營收上看百億美元	business
姊逼弟試喝套出保力達Ｂ摻農藥	society
4連亞雖然苦澀恰恰看見未來	sports
NBA黑人版高富帥違抗父命闖出一片天	sports
競逐檢察總長5人選大熱門顏大和明年五月卸任蔡總統擬明年三月提名繼任人選	politics
婦聯會拖字訣立委︰政府不應讓步	politics
老師：代管學生物品	society
幼女哭鬧被罵父砸人還到醫院堵人	society
原民自治區長屬民選任期4年	society
男大生不知遇詐騙拉室友取款都上當	society
「棒球是一生志業」蔣智賢提告	sports
治恐怖情人警署力推糾纏行為防制法	society
活塞、金塊崛起擠身前3強	sports
共機又近台今年第16起	politics
UBA》李家慷換跑道國體大勝屏大	sports
威力盃少棒賽20隊參賽創新高	sports
《國際現場》Google翻臉YouTube從亞馬遜設備撤下	business
賣龍潭廠與周邊用地味全Q4入帳	business
警官違規暴走飆小警網民酸「好大的官威」	society
工商界：經濟要轉骨速解決5缺	business
哈登大三元打跑騎士	sports
法人董事人數比例金管會擬修法規範	business
清晨4點就穿好球衣太巴塱球員超嗨	sports
中信冰風暴延燒曾仁和籲別亂猜	sports
李家慷挑戰SBL南山教練︰大學課業為重	sports
上回…手銬男求助警這次…偷車真的被銬	society
「操」人詹姆斯捕蜂3連勝	sports
中國伸黑手阻我出席聯合國氣候會議	politics
不跟進打澳聯林煜清還在等消息	sports
中廣案黨產會12.21開聽證會	politics
世桌年終賽》台奶爸組合四強戰抗日	sports
塞揚誰屬？美聯沒意外、國聯有懸念	sports
矽卡惡火6死／工業區鐵皮宿舍無人檢舉查報死角	society
受害家屬心聲：能遏止「可教化」成擋箭牌嗎?	society
新聞分析》宋習會預測	politics
已還陳鴻文清白?士檢指認知有落差	sports
